rho e p
0.71456 937.234805 473.528741
0.72 948.004051 481.193308
0.72544 958.831351 488.895554
0.73088 969.71655 496.63517
0.73632 980.659495 504.411851
0.74176 991.660032 512.225295
0.7472 1002.718006 520.075205
0.75264 1013.833264 527.961285
0.75808 1025.005652 535.883247
0.76352 1036.235018 543.840801
0.76896 1047.521206 551.833666
0.7744 1058.864065 559.861559
0.77984 1070.263441 567.924203
0.78528 1081.719181 576.021325
0.79072 1093.231134 584.152654
0.79616 1104.799145 592.317921
0.8016 1116.423065 600.516862
0.80704 1128.10274 608.749215
0.81248 1139.838019 617.01472
0.81792 1151.62875 625.313122
0.82336 1163.474785 633.644168
0.8288 1175.37597 642.007607
0.83424 1187.332157 650.403192
0.83968 1199.343195 658.830677
0.84512 1211.408936 667.28982
0.85056 1223.529229 675.780381
0.856 1235.703927 684.302124
0.86144 1247.93288 692.854814
0.86688 1260.215941 701.438218
0.87232 1272.552963 710.052108
0.87776 1284.943798 718.696257
0.8832 1297.3883 727.370439
0.88864 1309.886321 736.074432
0.89408 1322.437717 744.808018
0.89952 1335.042343 753.570977
0.90496 1347.700053 762.363095
0.9104 1360.410702 771.18416
0.91584 1373.174147 780.033959
0.92128 1385.990244 788.912286
0.92672 1398.858851 797.818933
0.93216 1411.779824 806.753696
0.9376 1424.753021 815.716373
0.94304 1437.778301 824.706766
0.94848 1450.855523 833.724674
